20201219014321,127.0.0.1,musicmate,10.211.104.165,9261054
20201219161428,127.0.0.1,musicmate,10.211.107.20,9261086
20201220192244,127.0.0.1,musicmate,10.211.107.69,PP92483
20201221080555,127.0.0.1,musicmate,10.211.106.63,PP90791
20201221084529,127.0.0.1,musicmate,10.40.139.59,PP90840
20201221085602,127.0.0.1,musicmate,10.40.139.102,PP90849
20201221090716,127.0.0.1,musicmate,10.211.105.29,PP96672
20201221091455,127.0.0.1,musicmate,10.211.106.67,9261089
20201221091621,127.0.0.1,musicmate,10.211.107.106,PP96671
20201221092722,127.0.0.1,musicmate,10.40.139.149,PP91923
20201221092936,127.0.0.1,musicmate,10.40.139.152,PP91926
20201221093955,127.0.0.1,musicmate,10.211.106.79,PP92483
20201221094842,127.0.0.1,musicmate,10.211.106.178,9261067
20201221094908,127.0.0.1,musicmate,10.211.104.22,9261124
20201221095428,127.0.0.1,musicmate,10.211.104.6,9261123
20201221095852,127.0.0.1,musicmate,10.40.139.121,PP91553
20201221102837,127.0.0.1,musicmate,10.211.106.217,PP94481
20201221103911,127.0.0.1,musicmate,10.211.104.13,9261093
20201221103911,127.0.0.1,musicmate,10.211.104.13,9261093
20201221104229,127.0.0.1,musicmate,10.211.105.130,9261187
20201221105006,127.0.0.1,musicmate,10.211.104.22,9261124
20201221110009,127.0.0.1,musicmate,10.40.139.121,PP91553
20201221110250,127.0.0.1,musicmate,10.211.106.63,PP90791
20201221110818,127.0.0.1,musicmate,10.211.106.9,9261054
20201221112134,127.0.0.1,musicmate,10.40.139.149,PP91923
20201221113311,127.0.0.1,musicmate,10.211.104.13,9261093
20201221114705,127.0.0.1,musicmate,10.211.107.106,PP96671
20201221121046,127.0.0.1,musicmate,10.211.111.192,1100493
20201221123020,127.0.0.1,musicmate,10.40.139.101,PP90848
20201221130403,127.0.0.1,musicmate,10.211.104.39,PP90841
20201221131344,127.0.0.1,musicmate,10.211.107.101,9261150
20201221132632,127.0.0.1,musicmate,10.211.106.230,9261183
20201221133157,127.0.0.1,musicmate,10.211.104.6,9261123
20201221133433,127.0.0.1,musicmate,10.211.106.79,PP92483
20201221133802,127.0.0.1,musicmate,10.211.107.157,1100354
20201221140248,127.0.0.1,musicmate,10.211.105.130,9261187
20201221140450,127.0.0.1,musicmate,10.211.104.67,1100354
20201221142421,127.0.0.1,musicmate,10.211.107.21,9261137
20201221143243,127.0.0.1,musicmate,10.40.139.101,PP90848
20201221151117,127.0.0.1,musicmate,10.211.106.9,9261054
20201221152313,127.0.0.1,musicmate,10.211.107.157,1100354
20201221152726,127.0.0.1,musicmate,10.211.106.230,9261183
20201221152819,127.0.0.1,musicmate,10.0.50.6,9261192
20201221152854,127.0.0.1,musicmate,10.40.139.101,PP90848
20201221154147,127.0.0.1,musicmate,10.40.139.64,PP90841
20201221155735,127.0.0.1,musicmate,10.40.139.149,PP91923
20201221160536,127.0.0.1,musicmate,10.40.139.123,PP91555
20201221160721,127.0.0.1,musicmate,10.211.104.13,9261093
20201221162311,127.0.0.1,musicmate,10.211.107.21,9261137
20201221162953,127.0.0.1,musicmate,10.211.105.57,9261110
20201221165745,127.0.0.1,musicmate,10.211.106.63,PP90791
20201221165824,127.0.0.1,musicmate,10.40.139.121,PP91553
20201221170715,127.0.0.1,musicmate,10.211.106.178,9261067
20201221170832,127.0.0.1,9261067,10.211.106.178,9261067,김가영,FLO0000001,10003,1
20201221171107,127.0.0.1,musicmate,10.211.105.172,PP92834
20201221171249,127.0.0.1,musicmate,10.211.107.21,9261137
20201221171458,127.0.0.1,musicmate,10.40.139.149,PP91923
20201221172136,127.0.0.1,musicmate,10.211.107.7,PP90849
20201221175306,127.0.0.1,musicmate,10.40.139.64,PP90841
20201221180030,127.0.0.1,musicmate,10.211.105.29,PP96672
20201221180306,127.0.0.1,musicmate,10.40.138.164,PP90791
20201221182647,127.0.0.1,musicmate,10.211.106.247,PP94691
20201221191617,127.0.0.1,musicmate,10.211.107.21,9261137
20201221195708,127.0.0.1,musicmate,10.211.106.178,9261067
20201222080937,127.0.0.1,musicmate,10.211.107.218,PP90791
20201222092445,127.0.0.1,musicmate,10.40.139.152,PP91926
20201222092922,127.0.0.1,musicmate,10.211.104.245,PP90841
20201222093529,127.0.0.1,musicmate,10.211.106.89,9261191
20201222094117,127.0.0.1,musicmate,10.211.105.57,9261137
20201222094625,127.0.0.1,musicmate,10.211.106.200,PP90848
20201222101653,127.0.0.1,musicmate,10.40.139.64,PP90841
20201222101819,127.0.0.1,musicmate,10.211.106.224,9261093
20201222101821,127.0.0.1,musicmate,10.0.50.12,9261017
20201222102011,127.0.0.1,musicmate,10.40.139.59,PP90840
20201222102511,127.0.0.1,musicmate,10.40.139.152,PP91926
20201222103207,127.0.0.1,musicmate,10.211.106.134,1100354
20201222103816,127.0.0.1,musicmate,10.211.105.67,9261187
20201222104136,127.0.0.1,musicmate,10.211.106.114,1100354
20201222104416,127.0.0.1,musicmate,10.211.104.239,9261183
20201222110640,127.0.0.1,musicmate,10.211.104.70,9261054
20201222111741,127.0.0.1,musicmate,10.211.106.156,1100354
20201222112417,127.0.0.1,musicmate,10.40.139.152,PP91926
